"Title","Profile Link","Department","Designation","Qualification","Research Interests","Profile Image"
"Yatindra Kumar","https://pec.ac.in/yatindra-kumar","Department of Civil Engineering","Assistant Professor","M.Tech. IIT Kharagpur","Hydraulics and Water Resources Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/yatindra.jpg?itok=wYq6KZGC"
"Ajay Mittal","https://pec.ac.in/ajay-mittal","Department of Computer Science & Engineering","Assistant Professor (on-Lien)","Ph.D","Algorithms, Image Processing, Computer Vision, and Pattern Recognition","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/ajay.jpg?itok=m8fGnvXq"
"Alka Jindal","https://pec.ac.in/alka-jindal","Department of Computer Science & Engineering","Assistant Professor","ME","Image Processing, Security , Database Systems","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/alka.jpg?itok=LWWP-EDZ"
"Divya Bansal","https://pec.ac.in/divya-bansal","Department of Computer Science & Engineering","Professor","Ph.D-Information Security","IoT and Mobile Sensors, Information Security, Social Network Analysis","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/divya_bansal.jpg?itok=RjsqCmFI"
"Manvjeet Kaur","https://pec.ac.in/manvjeet-kaur","Department of Computer Science & Engineering","Assistant Professor","B.TECH, M.TECH CSE, Pursuing Ph.D.","Biometrics, Biometric Security","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/manavjeet.jpg?itok=Zliq-jh5"
"Padmavati","https://pec.ac.in/padmavati","Department of Computer Science & Engineering","Assistant Professor","Ph.D","Wireless sensor networks, Internet of Things","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/padmavati.jpg?itok=8vs1ajhM"
"Poonam Saini","https://pec.ac.in/poonam-saini","Department of Computer Science & Engineering","Assistant Professor","Ph.D, M.Tech, B.Tech","Cloud Computing, Distributed Computing and BlockChain Technologies, Machine Learning and Big Data Analytics, Security","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Poonam%20Photo_1.jpg?itok=9eKQ4Jn_"
"Rajesh Kumar Bhatia","https://pec.ac.in/rajesh-kumar-bhatia","Department of Computer Science & Engineering","Professor","BE(CSE), ME(CS), PhD(CSE)","SOFTWARE TESTING, SOFTWARE CLONE DETECTION, SOFTWARE ENGINEERING, SOFTWARE COMPONENT RETRIEVAL, INFORMATION RETRIEVAL","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rajesh.jpg?itok=8GUI1yZF"
"Rupali Verma","https://pec.ac.in/rupali-verma","Department of Computer Science & Engineering","Assistant Professor","PhD(CSE), ME CSE(IT) BTECH (CSE)","Cryptography, Data Analytics, Artificial Intelligence","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rupali_verma.jpg?itok=FEdZdx2w"
"Sandeep Kumar Harit","https://pec.ac.in/sandeep-kumar-harit","Department of Computer Science & Engineering","Assistant Professor","Ph.D","Network Security, Mobile Communication, ITS, Adhoc N/W, Computer Networks","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sandeep_0.jpg?itok=qG4odTRV"
"Sanjeev Sofat","https://pec.ac.in/sanjeev-sofat","Department of Computer Science & Engineering","Professor","Ph.D","Information Security, Computer Vision & Image Processing, Social Media Analytics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sanjeev_0.jpg?itok=R4y5gsAy"
"Shailendra Singh","https://pec.ac.in/shailendra-singh","Department of Computer Science & Engineering","Professor & Head","Ph.D","Bioinformatics, Artificial Intelligence, Machine Learning, Soft Computing, Speech Technology","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/shailendra_singh_pec.png?itok=2mfSXTLg"
"Shilpa","https://pec.ac.in/shilpa","Department of Computer Science & Engineering","Assistant Professor","M.Tech (CSE)","Software Engineering, Multiprotocol label Switching, Software Testing, Database Management Systems","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/shilpa.jpg?itok=IhoQA_5P"
"Sudesh Rani","https://pec.ac.in/sudesh-rani","Department of Computer Science & Engineering","Assistant Professor","M.E.","Ad Hoc Networks, Wireless Networks, IoT and related areas","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sudesh.jpg?itok=F2nGAQAV"
"Trilok Chand","https://pec.ac.in/trilok-chand","Department of Computer Science & Engineering","Professor","Ph.D.","Computer Networks, Wireless Sensor Networks, Mobile and Vehicular Adhoc Networks, Computational Intelligence in Networks, IOT and related areas","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/trilokchand.jpg?itok=HD-mE-lZ"
"Dr. Tejinder Kumar Jindal","https://pec.ac.in/dr-tejinder-kumar-jindal","Department of Aerospace Engineering","Professor & Head","B.E,M.E, PhD","Renewable Energy, cryogenics, pulse detonation, propulsion","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/tkjindal.jpg?itok=vuZ-sJos"
"Asha Goel","https://pec.ac.in/asha-goel","Department of Applied Sciences","Professor","Ph.D.","Topology","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/asha.jpg?itok=o7rQf_Zu"
"Ashwani Prashar","https://pec.ac.in/ashwani-prashar","Department of Applied Sciences","Professor","Ph.D.","Nuclear Theory","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/ashwani.jpg?itok=bhfWU8OW"
"Dr. Sonu Kumar","https://pec.ac.in/sonu-kumar","Department of Applied Sciences","Assistant Professor","Integrated B.S.-M.S.(IISER-K), Ph.D. (Chemistry) (IISER-K), Humboldt Postdoc Fellow (Martin Luther University Halle-Wittenberg, Germany)","Bio-inspired polymers, Polymer-nanoconjugates, Multifunctional materials for bioapplications","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/20170629_112019.jpg?itok=SPmLK0Sq"
"Harminder Kaur","https://pec.ac.in/harminder-kaur","Department of Applied Sciences","Professor","M.Sc.M.Phil. Ph.D. (Chemistry) Guru Nanak Dev University, Amritser","Organotin Chemistry/Environmental Chemistry/Potentiometric Studies/NAno materials","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/harminder.jpg?itok=WmqBRBtu"
"L. N. Sharma","https://pec.ac.in/l-n-sharma","Department of Applied Sciences","Professor","Ph. D","Engineering Geology, Application of Remote sensing and GIS to Geological studies.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/lnsharma.JPG?itok=qXekoHWf"
"Meena Mahajan","https://pec.ac.in/meena-mahajan","Department of Applied Sciences","Assistant Professor","M.Sc. M.Phil. ( Mathematics)","Mathematics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/meena.jpg?itok=CBEM6WpH"
"Nipun Checker","https://pec.ac.in/nipun-checker","Department of Applied Sciences","Assistant Professor","Msc. Mphil (Mathematics)","Mathematics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/nipun.jpg?itok=7Y0Wm3Co"
"Prem Lata","https://pec.ac.in/prem-lata","Department of Applied Sciences","Assistant Professor","M.Sc.,M.Phil.,Ph.D","Analytical chemistry and Environmental Chemistry","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/prem.jpg?itok=HOoLh-ZZ"
"Rakesh Kumar","https://pec.ac.in/rakesh-kumar-0","Department of Applied Sciences","Assistant Professor","Ph.D. (City University of New York, USA), Postdoc (ETH Zurich, Switzerland)","Fluoroorganic chemistry, Photoredox and organo-catalysis, Chemistry of arynes and dianions.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Rakesh%20Picture.jpg?itok=M_ZT_V8E"
"Ranjeet Kaur Sehmi","https://pec.ac.in/ranjeet-kaur-sehmi","Department of Applied Sciences","Professor","PhD","Number Theory","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/ranjeet.jpg?itok=d1N0I3sx"
"Sanjeev Kumar","https://pec.ac.in/sanjeev-kumar","Department of Applied Sciences","Professor","M.Sc., Ph.D. (Physics) Kurukshetra University, Kurukshetra","Dilute magnetic semiconductors, nanomagnetism, multiferroics, nanowires","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sanjeev.jpg?itok=AY3hOyvM"
"Shobhna Dhiman","https://pec.ac.in/shobhna-dhiman","Department of Applied Sciences","Associate Professor","M.Sc, MPhil, Ph.D. (Physics), Panjab University, Cahndigarh","Experimental Physics, Solid State Physics, Carban Nanotubes, Fullerenes and doped fullerene","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/shobna.jpg?itok=i-o8V96R"
"Sucheta","https://pec.ac.in/sucheta","Department of Applied Sciences","Professor & Head","Ph.D","Algebra, Coding Theory,Computer Graphics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sucheta.jpg?itok=JKse3_gY"
"Sumati Mahajan","https://pec.ac.in/sumati-mahajan","Department of Applied Sciences","Assistant Professor","M Sc ; M Phil (Mathematics); P G Diploma","","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sumati.jpg?itok=rc4H70Pl"
"Vasundhara Singh","https://pec.ac.in/vasundhara-singh","Department of Applied Sciences","Professor","PhD (Organic Chemistry, Panjab University), Postdoc (Stanford Research Institute, California), DAAD Fellow (University of Regensburg Germany) CNRS Visiting Scientist (University of Rennes, France)","Natural Product Synthesis (Bioactive Heterocycles, sphingolipids), Green Chemistry, Hetrogenous Nano-catalysis( clay & silica ), Photocatalysis( metal oxides), Functional ionic liquids, Solar detoxification of Industrial Waste Water","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/citations.jpg?itok=8sqQ_OaT"
"Balwinder Singh Surjan","https://pec.ac.in/balwinder-singh-surjan","Department of Electrical Engineering","Professor","Ph.D. (Engg. & Technology) (P.U.)","Power System Stability","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/balwinder.jpg?itok=iAFYG1Dq"
"Dhiraj Bharat","https://pec.ac.in/dhiraj-bharat","Department of Electrical Engineering","Assistant Professor (Study Leave)","M-Tech Power Electronics (IIT Delhi)","Power Conditioning, Brushless Generation","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/dhiraj.jpg?itok=4MZd574a"
"Jagdish Kumar","https://pec.ac.in/jagdish-kumar","Department of Electrical Engineering","Professor & Head","BE (Hons), M. Tech. (IITD), Ph. D. (IITR)","Power Electronics and Control Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/jagdish.jpg?itok=xwsia5Rk"
"Jaimala Gambhir","https://pec.ac.in/jaimala-gambhir","Department of Electrical Engineering","Associate Professor","Ph.D. (PEC)","Renewable Energy, Power Electronics, Smart Grid","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/jaimala.jpg?itok=Vw3c4IG8"
"Loveleen Kaur","https://pec.ac.in/loveleen-kaur","Department of Electrical Engineering","Assistant Professor","BE, ME (P.U.) & Ph.D. (PEC)","Electrical Power Systems (T&D), Power Electronics Applications","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/loveleen.jpg?itok=w2dDa-ZO"
"Puneet Arora","https://pec.ac.in/puneet-arora","Department of Electrical Engineering","Associate Professor","Ph.D. (PEC)","Power System, Machine Design","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/puneet.jpg?itok=tnLLuHrB"
"Raminder Kaur","https://pec.ac.in/raminder-kaur","Department of Electrical Engineering","Associate Professor","Ph.D. (PEC)","Power System Planning, Energy Management, Transmission Planning in Restructured Environment, Distributed Generation","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/raminder.jpg?itok=pM7F4I9E"
"Rintu Khanna","https://pec.ac.in/rintu-khanna","Department of Electrical Engineering","Professor","PhD (P.U.)","Power System, Renewable Energy, Applications of Artificial Neural Networks & Fuzzy Systems","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rintu.jpg?itok=UizTfOp0"
"Sandeep Kaur","https://pec.ac.in/sandeep-kaur","Department of Electrical Engineering","Assistant Professor","B.E, M.E, PhD (IIT Roorkee)","Power System Planning, Distributed Generation ,Operation & Control, Power System Optimization","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sandeep_kaur_ee.jpg?itok=73CFdRHu"
"Shiv Narayan","https://pec.ac.in/shiv-narayan","Department of Electrical Engineering","Guest Faculty","B.Tech., M.E., Ph D (IIT Kanpur)","Control Engineering and its applications in various disciplines, Applications of Optimization Techniques in Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/shivnarayan.jpg?itok=Pardr6SF"
